Заголовок,Дата публикации,Текст,Автор,Ссылка
В Кирове снесли деревянный дом священнослужителя Танаевского,"14 апр 2024, 09:37","
Деревянный дом в Кирове, который был построен в начале прошлого века, снесли по указу местного начальника ЖКУ.  Об этом рассказала Регина Погудина, автор проекта ""Сквозь пальцы"".
Уничтожить здание решили 13 апреля. К дому №125/1 на Свободы пригнали экскаватор и начали разбирать сооружение с помощью ковша. В этот момент туда приехала Регина, а также другие общественники, чтобы сделать последнюю попытку спасти дом. Однако их просьбы не были услышаны.
Примечательно, что подрядчик приехал сносить дом без надлежащих документов. Прибывшая на место полиция это зафиксировала, однако было уже поздно: дом начали сносить.

– В самом контракте по сносу были ошибки. В идеале его должны были перезаключить, он был по факту недействительным, – рассказала нашему порталу Регина.

Во время процесса разрушения здания активистка вела трансляцию, запись можно посмотреть  тут  .
Ранее в своем сообществе Регина написала, что общественники уже договорились с другим подрядчиком о том, как можно сохранить дом. Он согласился аккуранто разобрать его и перевезти в будущий музей деревянного зодчества.

– Но чиновники не пошли навстречу и работают «по контракту», чтобы у нынешних подрядчиков не было проблем с репутацией, –  добавляет  автор проекта.

К счастью, активистам удалось спасти оконные наличники. Их изготовили в технике, которой пользовались мастера-резчики серидины XIX начала – XX веков. Они какое-то время стояли рядом с домом, но после его разрушения их увезли в историко-культурный клуб ""Мир"".

– Резные наличники имеют неповторимую для ныне сохранившихся деревянных домов в Кирове форму и рисунок, которые могут быть ценными и важными для сохранения с позиции локальной идентичности и территориального брендинга, – пишет Регина.

По информации проекта ""Сквозь пальцы"", ранее в доме №125/1 на улице Свободы жил Алексей Танаевский, священнослужитель и общественный деятель. Он стал одним из инициаторов строительства Феодоровской (Романовской) церкви на набережной Грина. Напомним, что каменный храм  планируют снова построить  по первоначальному проекту вятского архитектора Ивана Чарушина.

– Считаем, что особенно важно сохранить в исторической памяти города Кирова имя не только архитектора Чарушина, создавшего такой яркий образец архитектуры, в котором прослеживается влияние новгородской и псковской храмовой архитектуры, но и его первого священнослужителя, ратовавшего за появление нового центра духовной жизни Вятки, особенно в такое непростое для страны время, – сообщила Регина Погудина.

 ""Сквозь пальцы"" – проект Регины Погудиной, журналистки и общественного деятеля Кирова, который был создан в 2021 году. В своем сообществе девушка рассказывает про историческеские здания и памятники архитектуры нашего города. Одно из самых главных и сложных ее занятий – это попытки спасти от сноса старые дома, которые имеют или могут иметь историческую ценность.
Фото: Регина Погудина 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-snesli-derevyannyj-dom-svyashennosluzhitelya-tanaevskogo/
"В Кировской области на выплаты работникам образования выделили 3,5 млрд рублей","14 апр 2024, 09:21","
В первом квартале 2024 года в Кировской области на местные бюджеты было выделено 6,6 миллиарда рублей.  Об этом сообщили в пресс-службе правительства региона.
Они поступили в виде межбюджетных трансфертов из областного бюджета, в том числе 1,3 миллиарда рублей из федерального бюджета. Это на 25% больше, чем в прошлом году за аналогичный период.
Основные направления финансовой помощи включают:

Выплату заработной платы работникам образования, культуры и дополнительного образования детей, а также других учреждений - 3,5 миллиарда рублей.
Финансирование дорожных работ - 610,2 миллиона рублей.
Социальные выплаты на детей-сирот, компенсации родительской платы за детские сады и оплату ЖКУ - 194,3 миллиона рублей.
Организацию бесплатного питания школьникам и детям военнослужащих - 135,8 миллиона рублей.
Проекты по улучшению городской среды и уличному освещению - 96,2 миллиона рублей.
Ремонт и обеспечение безопасности муниципальных школ - 47,7 миллиона рублей.
Поддержка учреждений культуры - 32 миллиона рублей.
Переселение граждан из аварийного жилья и обеспечение жильем молодых семей - 26,9 и 18,9 миллиона рублей соответственно.
Финансовая помощь спортивным мероприятиям, включая детско-юношеский спорт - 6,7 миллиона рублей.

Также в местные бюджеты были направлены дотации в размере 793,5 миллиона рублей, которые муниципалитеты могут использовать на свои нужды, такие как оплата расходов учреждений, благоустройство и прочее.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskoj-oblasti-na-vyplaty-rabotnikam-obrazovaniya-vydelili-35-mlrd-rublej/
"В Афанасьевском районе водительница ""Лады Гранты"" съехала в кювет","14 апр 2024, 08:39","
На федеральной трассе в Афанасьевском районе произошло ДТП. Об этом рассказали в сообществе местной газете ""Призыв"".
Это случилось 13 апреля в 4:30. В районе АЗС ""Движение"" женщина 1991 года рождения за рулем ""Лада Гранта"" не справилась с управлением автомобиля и съехала в кювет.

На место происшествия выезжали сотрудники ГИБДД, скорая помощи и наряд спасателей. В результате происшествия пострадали две пассажирки 1971 и 1975 годов рождения. Позже выяснилось, что водительница в момент аварии находилась в состоянии алкогольного опьянения.
Напомним, что ранее в Кирове произошло другое ДТП. В микрорайоне Коминтерн сбили 43-летнего мужчину.
Фото: ""Призыв"" - газета Афанасьевского района
",Автор: Данил Попов,https://gorodkirov.ru/news/v-afanasevskom-rajone-voditelnica-lady-granty-sehala-v-kyuvet/
Иран запустил на территорию Израиля беспилотники,"14 апр 2024, 08:08","
Иран мог запустить более 100 беспилотных летательных аппаратов в направлении Израиля. Такие данные сообщил телеканал CNN, источником которого является израильский чиновник.
13 апреля Иран официально запустил множество боевых дронов в сторону Израиля. Корпус стражей исламской революции (КСИР) подтвердил этот факт и сообщил о запуске ракет и беспилотных летательных аппаратов по целям на территории Израиля, а также о намерении начать ракетную атаку в скором времени.
Премьер-министр Израиля Биньямин Нетаньяху заявил, что его страна долгое время готовилась к возможному нападению со стороны Ирана и находится в состоянии готовности к любому развитию событий.
Эскалация конфликта на Ближнем Востоке произошла после того, как 1 апреля Израиль атаковал консульство Ирана в Дамаске, в результате чего дипломатическое представительство было полностью разрушено.
Фото: ianed.ru
",Автор: Данил Попов,https://gorodkirov.ru/news/iran-zapustil-na-territoriyu-izrailya-bespilotniki/
Снайпер из Советского района погиб в ходе спецоперации,"13 апр 2024, 20:05","
На Украине погиб Денис Плотников, военнослужащий из Кировской области.  Об этом сообщили в администрации Советского района.
Это случилось еще 4 декабря 2023 года при исполнении воинского долга при проведении специальной военной операции. О гибели стало известно только 12 апреля.
Денис Иванович родился в 1985 году в Советске. Служил на должности снайпера отделения огневой поддержки взвода штурмовой роты 2 гвардейской общевойсковой армии Центрального военного округа.
Напомним, что ранее стало известно о гибели другого солдата из Кировской области. В ходе СВО  погиб Евгений Хохлов  , уроженец Оричевского района. В местной администрации объявили, где и когда состоится прощание с военнослужащим.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/snajper-iz-sovetskogo-rajona-pogib-v-hode-specoperacii/
В кировском АТП предложили увеличить стоимость проезда до 38 рублей,"13 апр 2024, 18:36","
Стоимость проезда в общественном транспорте в Кирове предложили поднять до 38 рублей. Об этом сообщил Константин Сичихин, глава рабочей группы общественного контроля региональной Общественной палаты.
В своем ТГ-канале он написал, что такое предложение поступило от АО ""АТП"". Изменить тарифы по перевозке пассажиров в общественном транспорте на городском, пригородном и межмуниципальном сообщении просят сразу несколько региональных перевозчиков. Напомним, что сейчас цена билета в городском транспорте составляет 30 рублей.
В итоге было принято решение провести расширенное заседание рабочей группы общественного контроля, где будет решаться данный вопрос. Оно состоится в Штабе общественной поддержки Кировской области на Московской, 32 в пятницу, 19 апреля, в 14:00. На заседании будут присуствовать представители ОПКО, регионального Министерства транспорта, а также перевозчики и все заинтересованные лица.
Фото: ""Город Киров RU""
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskom-atp-predlozhili-podnyat-stoimost-proezda-do-38-rublej/
После ударов ракетами по Токмаку погибло 10 человек,"13 апр 2024, 17:27","
Число жертв ракетных ударов по городу Токмак выросло до 10.  Об этом рассказал Евгений Балицкий, глава Запорожской области.
Атака произошла 12 апреля вечером. В результате повреждено минимум три многоквартирных дома. Среди погибших ранее числились двое детей.
Балицкий написал, что среди погибших числится еще один ребенок. Его тело извлекли из-под завалов одного из разрушенных зданий. Еще два человека числятся пропавшими без вести.
Поиски жертв и разбор разрушеных конструкций подолжается.

– Определены решения, которые в дальнейшем позволят оказать социальную поддержку семьям погибших и раненых и, соответственно, осуществить выплаты, которые будут предусмотрены для восстановления жилья. Людям должна и будет оказана вся необходимая помощь и поддержка, – сообщил Евгений Балицкий.


Фото: ТГ канал ""Балицкий Евгений"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/posle-udarov-raketami-po-tokmaku-pogiblo-10-chelovek/
В Советском районе закрыли проезд по мосту для части автомобилей,"13 апр 2024, 17:01","
В Кировской области ввели ограничения на проезд по одному из мостов.  Об этом сообщили в региональном правительстве.
Речь идет про мост через реку Немда в Советском районе. Он находится на 143 км автодороги ""Советск – Яранск"".
С 13 апреля проезд по этому мосту открыт для автомобилей грузоподъемностью до 15 тонн, однако ограничение максимальной скорости – 20 км/ч. Также водителям нужно соблюдать дистанцию – 40 метров друг от друга.
Напомним, что ранее в Кировской области  перекрыли мосты в 10 районах  . Это связано с ледоставом. Закрыли проезд по 14 переправам. А у некоторых рек наблюдается подъем уровня воды до 57 см.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-sovetskom-rajone-zakryli-proezd-po-mostu-dlya-chasti-avtomobilej/
Минэнергетики Кировской области купило первую в регионе мобильную котельную,"13 апр 2024, 15:33","
Министерство энергетики и ЖКХ Кировской области приобрело мобильную котельную.  Об этом сообщили в пресс-службе регионального правительства.
Это первый подобный случай в области. Согласно заявлению, целью приобретения котельной является обеспечение теплом квартир и социальных объектов в случае аварийных ситуаций. Эта мобильная установка размещена на прицепе и может легко перемещаться в любой район области в случае чрезвычайных ситуаций, где она подключается к местным теплосетям. Она способна обеспечивать стабильное теплоснабжение в течение продолжительного времени для многоквартирных домов, школ, больниц и детских садов.
Покупка котельной была осуществлена за счет средств областного бюджета и произведена на предприятии, расположенном в Кирове. Она функционирует на дизельном топливе и способна обеспечивать непрерывное теплоснабжение объектов.


Фото: Правительство Кировской области 
",Автор: Данил Попов,https://gorodkirov.ru/news/minenergetiki-kirovskoj-oblasti-kupili-pervuyu-v-regione-mobilnuyu-kotelnuyu/
"Супруг Блиновской отправился на СВО, чтобы спасти свой бизнес","13 апр 2024, 15:11","
Алексей Блиновский, муж Елены, принял решение присоединиться к специальной военной операции на Украине. Об этом сообщил ТГ-канал SHOT, ссылаясь на свои источники.
Таким образом он хочет спасти свой бизнес от краха. Из 12 компаний уже три находятся на грани ликвидации: IT-фирма ""Подари мечту"", компании по производству одежды ""Три кошки"" и по переработке морепродуктов ""Аквакультура"". Кроме того, суд начал процесс банкротства компании ""Оливия групп"", которая занималась продажей одежды и тканей более четырех лет.
Супруг ""королевы марафонов"" владел 12 компаниями, но из-за проблем с семейными финансами и большими долгами он столкнулся с трудностями. В связи с этим он решил присоединиться к СВО в надежде на реабилитацию и освобождение Блиновской из СИЗО.
Фото: SHOT
",Автор: Данил Попов,https://gorodkirov.ru/news/suprug-blinovskoj-otpravilsya-na-svo-chtoby-spasti-svoj-biznes/
"В Кирове задержали двух мужчин, которые искали закладку на улице Рабочей","13 апр 2024, 13:43","
Двух кировчан подозревают в незаконном обороте наркотиков.  Об этом сообщили в пресс-службе Росгвардии.
Это случилось утром на улице Рабочей. Наряд вневедомственной охраны Росгвардии, находясь на маршруте патрулирования, увидел мужчин, один из которых держал в руках телефон и  что-то искал в в местной лесополосе.
После вопроса о наличии у них запрещенных предметов или веществ мужчины признались, что заказали по интернету наркотики для собственного употребления.
Правонарушителей 1976 и 1982 годов рождения передали сотрудникам полиции, которых на место вызвали росгвардейци. Стражи правопорядка по координатам, указанным в телефоне, изъяли пакетик с неизвестным веществом. Содержимое направлено на исследование.
Фото:
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-zaderzhali-dvuh-muzhchin-kotorye-iskali-zakladku-na-ulice-rabochej/
Солдат из Оричевского района погиб в зоне СВО,"13 апр 2024, 13:19","
На Украине погиб житель Кировской области.  Об этом сообщили в администраци Оричевского района.
Погибшего звали Евгений Хохлов. Он носил звание сержанта. Погиб в ходе специальной военной операции при выполнении боевых задач.
В администраци района объявили, когда и где состоится прощание с военнослужащим. Оно пройдет 14 апреля в его родной деревне Большие Гари в доме №7 на улице Молодежной. Начало гражданской панихиды в 10:00.

– Администрация Оричевского района выражает глубокие соболезнования родным и близким Евгения Дмитриевича, – написали в сообществе.

Фото: Администрация Оричевского района 
",Автор: Данил Попов,https://gorodkirov.ru/news/soldat-iz-orichevskogo-rajona-pogib-v-zone-svo/
В Кирове к 650-летию города проведут капремонт 277 домов,"13 апр 2024, 11:53","
В 2024 году в Кирове проведут капитальный ремонт в 277 домах.  Об этом сообщили на сайте Правительства Кировской области.
Работы будут проводиться к юбилею города. Согласно данным пресс-службы, за прошедший 2023 год Фонд капремонта восстановил 480 многоквартирных домов. На следующий год власти намерены увеличить этот показатель и провести ремонт как минимум 600 домов.
Основные работы запланированы в Кирове в мае, так как последний месяц весны является ключевым в подготовке к празднованию 650-летия города. В связи с этим губернатор объявил о составлении списка многоквартирных домов Кирова, на которые власти сосредоточат свои усилия уже весной. В этот список вошли 277 зданий, при этом в некоторых из них работы уже начались.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-k-650-letiyu-goroda-provedut-kapremont-277-domov/
В Кировской области начался сезон охоты на пернатую дичь,"13 апр 2024, 10:28","


  В Кировской области объявили о начале сезона охоты на пернатую дичь.
 
 Об этом сообщили в пресс-службе региональной Минохраны.


 Разрешается охота на селезней с подсадной уткой с 15 апреля по 15 мая. В южной зоне охота на водоплавающую дичь будет проводиться с 19 по 28 апреля, а в северной – с 26 апреля по 5 мая.


 На боровую дичь разрешено охотиться с 24 апреля по 3 мая в южной зоне и с 1 по 10 мая – в северной.


 Для получения разрешений на охоту в общедоступных охотничьих угодьях можно воспользоваться порталом Госуслуги.ру. Заявление на получение разрешения также можно подать лично через портал или многофункциональные центры.


 Госпошлина за выдачу разрешения на добычу охотничьих ресурсов составляет 650 рублей. Сбор за пользование объектами животного мира за одну особь глухаря – 100 рублей, тетерева – 20 рублей.



  Министерство призывает всех охотников соблюдать Правила охоты, технику безопасности при обращении с оружием, а также правила противопожарной безопасности при нахождении в охотничьих угодьях, – сообщили в пресс-службе ведомства.
 



  Фото: ""Город Киров RU""
 

",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskoj-oblasti-nachalsya-sezon-ohoty-na-pernatuyu-dich/
"В Кирове полиция поймала автоугонщика, который украл три автомобиля","13 апр 2024, 10:02","
Кировская полиция задержала мужчину, который угнал несколько машин.  Об этом сообщили в УМВД по Кировской области.
Ранее отдел МВД России ""Зуевский"" объявил в розыск местного жителя 1988 года рождения. Мужчину, который ранее уже был судим, подозревали в угоне трех автомобилей: одного в Зуевке и двух – в Кирове.Также на него возбудили уголовное дело за уклонение от административного надзора. Подозреваемый скрылся от дознавателей в период расследования, покинув место жительства.
В итоге жителя Зуевки задержали в поселке Костино города Кирова. Его доставили обратно для проведения следствия.
Напомним, что ранее полиция объявила о розыске мужчины, которого подозревали в угоне автомобиля ВАЗ-2112. Он  попал на камеры видеонаблюдения  . Является ли этот угонщик тем, кого задержали в Костино, полиция не уточнила.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirove-policiya-pojmala-avtougonshika-kotoryj-ukral-tri-avtomobilya/
В Кировской области простились с двумя солдатами из Верхнекамского района,"13 апр 2024, 08:53","
Двое военнослужащих их Верхнекамского района погибли на Украине.  Об этом сообщили в местной администрации.
Речь идет о Михаиле Чарушине и Алексее Кудашеве. Они погибли в ходе специальной военной операции.
Напомним, что о гибели первого бойца  мы писали ранее  . Житель Кирса отдал свою жизнь в боях на территории Донецкой Народной республики.
Информация о том, что на территории Украины погиб Алексей Кудашев, появилась позже. Об этом рассказали в администрации Верхнекамского района на следующий день.

Хочу выразить искренние соболезнования и сочувствие родным и близким Алексея Николаевича. Вечная память герою, – написал глава Верхнекамского муниципального округа Игорь Суворов.

Прощание с солдатами состоялась 10 апреля в Кирсе. Оно прошло на центральной площади у Храма Покрова Пресвятой Богородицы.
Фото: vk.com/verhnemadm43 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskoj-oblasti-prostilis-s-dvumya-soldatami-iz-verhnekamskogo-rajona/
В Кировской области поднялись цены на овощи и сладости,"13 апр 2024, 08:24","
За март 2024 года в Кировской области изминилась цена на большинство продуктов питания.  В среднем она выросла на 0,4%, сообщает Кировстат.
По информации ведомства, подорожали:

Свекла (на 13,3%);
Помидоры (на 13,1%);
Свежая зелень (на 6,8%);
Морковь на 4,2%;
Копченое мясо (на 3,4%),
Печень говяжья и свиная (на 2,7%);
Пельмени и манты (на 2,4%);
Говядину (на 2%).

Стоимость рыбных консервов увеличилась на 4,2%, а соленой рыбы – на 2,5%.
Цены на сладости тоже поднялись: шоколадные конфеты стали дороже на 6,3%, а кексы и рулеты на 2,9%. Сахар подорожал на 4,2%, творог на 3,7%.
Однако огурцы стали дешевле на 24,3%, бананы на 6,2%, чеснок на 4,4%, а лимон на 3,5%. Стоимость куриных яиц снизилась на 5%, гречневой крупы на 3,2%, а натурального кофе на 3,1%.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-kirovskoj-oblasti-podnyalis-ceny-na-ovoshi-i-sladosti/
«Обществознание» частично исключат из школьной программы,"13 апр 2024, 06:00","
Министерство просвещения России исключило из школьной программы 6-8 классов предмет «Обществознание», его часы заполнят историей, пишет РБК.
Вместо «Обществознания» в средней школе увеличат количество часов истории — с 340 до 476. Изменения вступят в силу с 1 сентября 2025 года.
Изучение «Обществознания» будет начинаться в 9 классе, а общее число часов составит 34, то есть по одному часу в неделю. Сейчас же «Обществознание» преподают школьникам с 6 по 9 классов, на изучение предмета отводится 136 часов.
Ранее стало известно обновленное расписание сдачи ЕГЭ в 2024 году. Теперь в нем предусмотрена возможность для пересдачи одного из предметов. Основной этап сдачи ЕГЭ начнется 23 мая, на пересдачу выделили два дня – 4 и 5 июля. 
Фото: редакция портала ""Город Киров""
",Автор: Редакция,https://gorodkirov.ru/news/obshestvoznanie-chastichno-isklyuchat-iz-shkolnoj-programmy/
Кировчане восстановят Дом культуры в подшефном Запорожском районе,"12 апр 2024, 23:00","
Кировская область оказывает шефскую помощь Веселовскому району Запорожской области.  Кировчане постоянно помогают местным жителям восстанавливать разрушенную во время боевых действий инфраструктуру, рассказали в областном правительстве.
В праительстве напомнили, что кировчане уже провели ремонт дорог и четырех котельных в пгт Веселое, прошел ремонт Запорожской средней общеобразовательной школы № 51 (с. Запорожье), детского сада № 29 «Верба» (с. Чкалово), средней школы № 43 и 44 (пгт Весёлое), средней школы № 42 (с. Чкалово), средней школы № 52 (с. Весёлое). Были отремонтированы здания ЦРБ и амбулатории, здание территориальной избирательной комиссии и канализационно-насосной станции № 1 в пгт Весёлое.
Теперь на очереди центральный Дом культуры пгт Весёлое, в ближайшее время рабочие из Кировской области приступят к его ремонту, в рамках которого будут выполнены работы по усилению фундамента и реконструкции системы отопления. Восстановить ДК планируется до конца текущего года.
Фото: редакция портала ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/kirovchane-vosstanovyat-dom-kultury-v-podshefnom-zaporozhskom-rajone/
В Кировской области ожидаются перебои в теле- и радиовещании,"12 апр 2024, 22:00","
Кировский радиопередающий центр предупреждает жителей области о кратковременных отключениях ТВ-каналов и радиостанций.  Причиной перебоев могут стать профилактические работы на радиотелевизионной станции «Киров».
15 апреля, с 01:00 до 10:00 могут случиться кратковременные отключения трансляции первого и второго мультиплексов цифрового эфирного телевидения и FM-радиостанций.
17 апреля в то же время профилактика коснется РТПС «Кирс» (Врехнекамский муниципальный округ), «Ключи» (Унинский муниципальный округ), «Цепочкино» (Уржумский район), «Шмелево» (Свечинский муниципальный округ) и «Пинюга» (Подосиновский район), а также снова ряда FM-радиостанций.
Таким образом, 15 и 17 апреля с перебоями могут работать: Первый канал, Россия-1, Матч-ТВ, НТВ, Петербург — 5 канал, Россия-Культура, Россия-24, Карусель, ОТР, ТВ-Центр, «Радио России», ОТР, РЕН- ТВ, СПАС, СТС, Домашний, ТВ-3, Пятница, Звезда, Мир, ТНТ, Муз-ТВ.
Если после возобновления трансляции вещание не восстановилось самостоятельно, кировчанам советуют перезагрузить оборудование и повторно произвести поиск каналов.
Фото: редакция портала ""Город Киров"" 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirovskoj-oblasti-ozhidayutsya-pereboi-v-tele-i-radioveshanii/
"В Кирове разыскивают отца, задолжавшего своему ребенку 400 тысяч рублей","12 апр 2024, 21:00","
Судебные приставы объявили в розыск злостного алиментщика.  Огородников Павел Владимирович должен своему ребенку более 400 тыс. рублей, сообщили в ГУФССП России по Кировской области.
39-летний уроженец Кирова разыскивается за уклонение от исполнения алиментных обязательств. Мужчина умышленно скрывается и не выплачивает деньги на содержание своего ребенка, задолженность уже превысила 400 тыс. рублей. В Службе судебных приставов рассказали, что должник может проживать в областном центре на съемной квартире. Предположительно, Павел Огородников может работать грузчиком в магазине.
Всех, кому что-либо известно о местонахождении неродивого отца, просят обращаться по телефонам: 8-912-820-41-50, 8(8332) 48-99-05.
Раанее мы писали, что в Кировской области отец больше полугода н  е выплачивал  алименты 5-летней дочери и 3-летнему сыну. Житель Подосиновского района привлекался на только к административной, но к уголовной ответственности. В последний раз суд назначил ему наказание в виде трех месяцев принудительных работ с удержанием из заработной платы в доход государства части заработка.
Фото: ГУФССП России по Кировской области 
",Автор: Редакция,https://gorodkirov.ru/news/v-kirove-razyskivayut-otca-zadolzhavshego-svoemu-rebenku-400-tysyach-rublej/
"В Кирове вынесли приговор владелице детского центра, откуда пропал полуторагодовалый малыш","12 апр 2024, 17:22","


  В Кирове вынесли приговор владелице детского досугового центра, находящегося на улице Красноармейской.
 
 Ее признали виновной в оказании услуг, не отвечающих требованиям безопасности. Речь идет об инциденте с пропавшим во время прогулки полуторагодовалым малышом.


 Дело было 10 августа прошлого 2023 года, когда ребят
 
  повели на свежий воздух
 
 . Однако один из них отделился от группы и сумел покинуть территорию детской площадки. Ребенка обнаружили уже за территорией детского центра внимательные прохожие. Они и вернули малыша  в учреждение. При этом сама обвиняемая даже не поняла, что кто-то из детей не вернулся с прогулки.
 

 Свою девушка полностью признала, и в качестве наказания ей назначили штраф в размере 110 тысяч рублей.


 Ранее мы писали, что в Кировской области 17-летний подросток обманул женщин почти
 
  на полмиллиона рублей
 
 .


 Фото редакции портала ""Город Киров.RU""

",Автор: Екатерина Рожкова,https://gorodkirov.ru/news/v-kirove-vynesli-prigovor-vladelice-detskogo-centra-otkuda-propal-polutoragodovalyj-malysh/
В России хотят заменить курортный сбор на туристический налог,"12 апр 2024, 15:10","
Правительство планирует заменить курортный сбор на туристический налог.  Об этом сообщают ""Ведомости"", ссылаясь на источники, знакомые с обсуждением вопроса.
Суть заключается в передаче администрирования сбора от отелей и гостевых домов к ФНС. В настоящее время обсуждается концепция налога, включая его базу и ставку. Предполагается налогообложение стоимости размещения с намеченной ставкой в 3% от цены проживания. Другая идея – использовать площадь гостиничных объектов как базу для налога.
Налог будет действовать на всей территории, но регионы будут иметь право ввести его или отказаться. Собранные средства будут направлены на развитие туристической инфраструктуры. Пока рассматриваются разные способы взимания платежа после завершения эксперимента в пилотных регионах, но окончательное решение еще не принято. Идея о расширении курортного сбора на всю страну была обсуждена еще в 2023 году по поручению президента.
Предполагается, что законопроект будет представлен в Госдуму весной, до завершения эксперимента с курортным сбором в четырех регионах.
Фото: ""Город Киров RU"" 
",Автор: Данил Попов,https://gorodkirov.ru/news/v-rossii-hotyat-zamenit-kurortnyj-sbor-na-turisticheskij-nalog/
